x,y,z,h,s,r,g,b
2817.50,-3017.50,0.00,0.00,0.00,0.71,0.71,0.71
2837.50,-3017.50,0.00,0.00,0.00,0.71,0.71,0.71
2857.50,-3017.50,0.00,0.00,0.00,0.71,0.71,0.71
2877.50,-3017.50,0.00,0.00,0.00,0.71,0.71,0.71
2897.50,-3017.50,0.00,0.00,0.00,0.71,0.71,0.71
2917.50,-3017.50,0.00,0.00,0.00,0.71,0.71,0.71
2937.50,-3017.50,0.00,0.00,0.00,0.71,0.71,0.71
2957.50,-3017.50,0.00,0.00,0.00,0.71,0.71,0.71
2977.50,-3017.50,0.00,0.00,0.00,0.71,0.71,0.71
2997.50,-3017.50,0.00,0.00,0.00,0.71,0.71,0.71
3017.50,-3017.50,0.00,0.00,0.00,0.71,0.71,0.71
3037.50,-3017.50,0.00,0.00,0.00,0.71,0.71,0.71
3057.50,-3017.50,0.00,0.00,0.00,0.71,0.71,0.71
3077.50,-3017.50,0.00,0.00,0.00,0.71,0.71,0.71
3097.50,-3017.50,0.00,0.00,0.00,0.71,0.71,0.71
3117.50,-3017.50,0.00,0.00,0.00,0.71,0.71,0.71
3137.50,-3017.50,0.00,0.00,0.00,0.71,0.71,0.71
3157.50,-3017.50,0.00,0.00,0.00,0.71,0.71,0.71
3177.50,-3017.50,0.00,0.00,0.00,0.71,0.71,0.71
3197.50,-3017.50,0.00,0.00,0.00,0.71,0.71,0.71
3217.50,-3017.50,0.00,0.00,0.00,0.71,0.71,0.71
3237.50,-3017.50,0.00,0.00,0.00,0.71,0.71,0.71
3257.50,-3017.50,0.00,0.00,0.00,0.71,0.71,0.71
3277.50,-3017.50,0.00,0.00,0.00,0.71,0.71,0.71
3297.50,-3017.50,0.00,0.00,0.00,0.71,0.71,0.71
3317.50,-3017.50,0.00,0.00,0.00,0.71,0.71,0.71
3337.50,-3017.50,0.00,0.00,0.00,0.71,0.71,0.71
3357.50,-3017.50,0.00,0.00,0.00,0.71,0.71,0.71
3377.50,-3017.50,0.00,0.00,0.00,0.71,0.71,0.71
3397.50,-3017.50,0.00,0.00,0.00,0.71,0.71,0.71
3417.50,-3017.50,0.00,0.00,0.00,0.71,0.71,0.71
3437.50,-3017.50,0.00,0.00,0.00,0.71,0.71,0.71
3457.50,-3017.50,0.00,0.00,0.00,0.71,0.71,0.71
3477.50,-3017.50,0.00,0.00,0.00,0.71,0.71,0.71
3497.50,-3017.50,0.00,0.00,0.00,0.71,0.71,0.71
3517.50,-3017.50,0.00,0.00,0.00,0.71,0.71,0.71
3537.50,-3017.50,0.00,0.00,0.00,0.71,0.71,0.71
3557.50,-3017.50,0.00,0.00,0.00,0.71,0.71,0.71
3577.50,-3017.50,0.00,0.00,0.00,0.71,0.71,0.71
3597.50,-3017.50,0.00,0.00,0.00,0.71,0.71,0.71
3617.50,-3017.50,0.00,0.00,0.00,0.71,0.71,0.71
3637.50,-3017.50,0.00,0.00,0.00,0.71,0.71,0.71
3657.50,-3017.50,0.00,0.00,0.00,0.71,0.71,0.71
