timeStep,maxpft,maxpfv,maxppr
8.399999999999986,2.0791182631809755,35.75376222352084,255666.30262721315
8.499999999999986,2.0962250700647926,36.18791610263222,261913.05437022969
8.599999999999985,2.1025312510021084,36.62215742730973,268236.48292613146
8.699999999999985,2.1351913039132975,37.057856865289544,274656.9510896575
8.799999999999985,2.1741026294717583,37.49649812852738,281197.4743805314
8.899999999999984,2.2135847177038652,37.93850577219519,287866.0440453776
8.999999999999984,2.2495743245725723,38.38388061886538,294664.4582726619
9.099999999999984,2.283408013805698,38.82889351938091,301536.5943878842
9.199999999999983,2.3089248072588924,39.27447414653296,308496.86389733717
9.299999999999983,2.3291985184591777,39.71869851959331,315515.00241806876
9.399999999999983,2.3438652919516434,40.163543528567786,322622.04575423186
9.499999999999982,2.3541209631318942,40.607738434402144,329797.6841513642
9.599999999999982,2.366085485685043,41.050641471739674,337031.03304826265
